Rank,Performance,"Surname, first name",Club,Nat.,YOB,M/F,Rank M/F,Cat,Cat. Rank,Avg.Speed km/h,Age graded performance,Runner ID,Event,Date,Distance,Finishers,winner_time,"Original name
Surname, first name",hours
1,8:07:16 h,"Weir, Dennis",Norwich RMI,GBR,1938,M,1,M50,1,12.314,7:11:00 h,113489,12 Hour Track Race Nottingham - 100 km Split (GBR),17.09.1989,100km  track,"20 (18 M, 2 F)",8:07:16 h,,
1,140.897 km,"Weir, Dennis",Norwich RMI,GBR,1938,M,1,M50,1,11.741,159.296 km,113489,12 Hour Track Race Nottingham (GBR),17.09.1989,12h  track,"27 (25 M, 2 F)",140.897 km,,
5,7:49:09 h,"Weir, Dennis",Horwich RMI,GBR,1938,M,5,M50,1,12.789,6:54:58 h,113489,100 km Nottingham (GBR),07.05.1989,100km  road race,"50 (45 M, 5 F)",6:43:55 h,,
1,142.266 km,"Weir, Dennis",Horwich R.M.I,GBR,1938,M,1,M50,1,11.856,160.843 km,113489,Interprint 12 hours track race (GBR),09.04.1989,12h  track,"7 (7 M, 0 F)",142.266 km,,
5,4:37:32 h,"Weir, Dennis",Horwich RMI,GBR,1938,M,5,M50,1,13.917,4:07:37 h,113489,3rd Barry 40 Mile Track Race (GBR),05.03.1989,40mi  track,"21 (21 M, 0 F)",3:59:24 h,,
9,4:56:49 h,"Weir, Dennis",Horwich R.M.I.,GBR,1938,M,9,M50,2,13.013,4:24:50 h,113489,6th Bolton 40 miles road race (GBR),11.09.1988,40mi  road race,"33 (33 M, 0 F)",4:22:40 h,,
5,4:55:35 h,"Weir, Dennis",Horwich R.M.I.,GBR,1938,M,5,M45,1,13.067,4:26:02 h,113489,5th Bolton 40 miles road race (GBR),13.09.1987,40mi  road race,"20 (20 M, 0 F)",4:21:04 h,,
10,4:54:47 h,"Weir, Dennis",Horwich R.M.I.,GBR,1938,M,10,M45,1,13.103,4:29:55 h,113489,3rd Bolton 40 miles road race (GBR),08.09.1985,40mi  road race,"39 (39 M, 0 F)",4:18:41 h,,
11,6:53:54 h,"Weir, Dennis",Horwich R.M.I.,GBR,1938,M,11,M45,1,11.665,6:18:59 h,113489,John Tarrant Memorial 50 mile Race (GBR),16.06.1985,50mi  road race,"20 (19 M, 1 F)",5:01:29 h,,
10,4:51:50 h,"Weir, Dennis",Horwich R.M.I.,GBR,1938,M,10,M45,1,13.235,4:29:29 h,113489,2nd Bolton 40 miles road race (GBR),09.09.1984,40mi  road race,"24 (24 M, 0 F)",4:22:33 h,,
8,4:48:38 h,"Weir, Dennis",Horwich R.M.I.,GBR,1938,M,8,M45,1,13.382,4:28:45 h,113489,1st Bolton 40 miles road race (GBR),11.09.1983,40mi  road race,"29 (28 M, 1 F)",4:23:17 h,,
5,222.095 km,"Weir, Dennis",,GBR,1938,M,5,M40,2,9.254,232.682 km,113489,Blackburn 24 Hours Track Run (GBR),11.-12.10.1980,24h  track,"13 (13 M, 0 F)",264.108 km,,
15,8:12:04 h,"Weir, Dennis",Sale,GBR,1938,M,15,M40,3,12.193,7:49:41 h,113489,100K road race Grantham (GBR),22.06.1980,100km  road race,"20 (19 M, 1 F)",6:59:13 h,,
9,3:21:01 h,"Weir, Dennis",,GBR,1938,M,9,M40,2,14.924,3:11:53 h,113489,2nd Altrincham 50 Km Track Race (GBR),07.06.1980,50km  track,"16 (16 M, 0 F)",2:48:06 h,,
6,4:32:57 h,"Weir, Dennis",Sale Harriers,GBR,1938,M,6,M40,2,14.151,4:22:40 h,113489,Epsom and Ewell 40 Mile Track Race (GBR),28.04.1979,40mi  track,"12 (12 M, 0 F)",3:54:07 h,,
10,3:19:29 h,"Weir, Dennis",,GBR,1938,M,10,M40,4,15.039,3:13:26 h,113489,1st Altrincham 50 Km Track Race (GBR),10.03.1979,50km  track,"25 (25 M, 0 F)",2:50:30 h,,
22,4:13:15 h,"Weir, Dennis",Sale Harriers,GBR,1938,M,22,M35,7,13.726,4:09:58 h,113489,Two Bridges race (GBR),23.08.1975,36mi  road race,"52 (52 M, 0 F)",3:26:45 h,,
10,4:28:59 h,"Weir, Dennis",,GBR,1938,M,10,M35,1,13.426,4:25:30 h,113489,12th 40 mile road race - Woodford to Southend (GBR),26.07.1975,37.4mi  road race,"30 (30 M, 0 F)",3:49:35 h,,
6,3:03:07 h,"Weir, Dennis",,GBR,1938,M,6,M35,2,15.820,3:01:30 h,113489,Walton-on-Thames 30 Mile Track Race (GBR),02.11.1974,30mi  track,"14 (14 M, 0 F)",2:44:47 h,,
4,10:25:59 h,"Millen, Boyd",,GBR,1936,M,3,M60,1,7.713,8:10:20 h,1051631,8th VAWC George Knott 24 Hour - 50 mi Split (AUS),02.-03.09.2000,50mi  walking track,"9 (8 M, 1 F)",9:06:38 h,,
3,23:25:43 h,"Millen, Boyd",,GBR,1936,M,2,M60,1,6.869,18:21:06 h,1051631,8th VAWC George Knott 24 Hour - 100 mi Split (AUS),02.-03.09.2000,100mi  walking track,"3 (2 M, 1 F)",21:26:10 h,,
3,162.000 km,"Millen, Boyd",,GBR,1936,M,2,M60,1,6.750,206.817 km,1051631,8th VAWC George Knott 24 Hour (AUS),02.-03.09.2000,24h  walking track,"12 (11 M, 1 F)",175.460 km,,
26,23:13:25 h,"Millen, Boyd",Kendal AC,GBR,1936,M,22,M60,2,6.930,18:22:20 h,1051631,100mi Weert (NED),15.-16.05.1999,100mi  walking road on a loop < 5km/3mi,"35 (31 M, 4 F)",18:45:47 h,,
24,189.200 km,"Millen, Boyd",,GBR,1936,M,22,M60,1,6.757,234.536 km,1051631,44ème Les 28 heures int. de Roubaix a la marche (FRA),20.-21.09.1997,28h  walking road,"37 (36 M, 1 F)",241.700 km,,
8,178.336 km,"Millen, Boyd",,GBR,1936,M,8,M40,2,7.431,185.323 km,1051631,24 hour Crystal Palace Track Race (GBR),15.-16.10.1977,24h  track,"12 (12 M, 0 F)",251.459 km,,
9,13:18:07 h,"Moulding, David",Thornton Cleveleys RC,GBR,1983,M,9,M35,4,5.444,12:59:08 h,1366214,Pendle Way on a Midsummers Night  45mi (GBR),24.06.2023,45mi  trail race,"12 (9 M, 3 F)",7:59:59 h,,
30,141.056 km,"Moulding, David",Thornton-Cleveleys RC,GBR,1983,M,28,M35,7,5.877,143.642 km,1366214,31st Self-Transcendence 24 h Track Race Tooting Bec (GBR),17.-18.09.2022,24h  track,"43 (37 M, 6 F)",240.589 km,,
20,5:27:24 h,"Moulding, David",Thornton-Cleveleys RC,GBR,1983,M,18,M35,7,9.163,5:21:31 h,1366214,31st Self-Transcendence 24 h Track Race Tooting Bec - 50km split (GBR),17.-18.09.2022,50km  track,"43 (37 M, 6 F)",4:19:29 h,,
26,13:04:15 h,"Moulding, David",Thornton-Cleveleys RC,GBR,1983,M,24,M35,7,7.651,12:50:09 h,1366214,31st Self-Transcendence 24 h Track Race Tooting Bec - 100km split (GBR),17.-18.09.2022,100km  track,"40 (36 M, 4 F)",9:04:02 h,,
57,28:48:34 h,"Moulding, David",,GBR,1983,M,49,M35,12,5.586,28:26:06 h,1366214,Lakeland 100 Mile (GBR),23.-25.07.2021,100mi  trail race,"338 (282 M, 56 F)",19:10:27 h,,
51,10:33:02 h,"Moulding, David",,GBR,1983,M,45,M35,13,7.169,10:24:49 h,1366214,The Lap Spring Forward (GBR),08.-09.05.2021,47mi  trail race,"285 (198 M, 87 F)",7:00:18 h,,
55,12:48:48 h,"Moulding, David",,GBR,1983,M,42,M35,11,5.861,12:44:35 h,1366214,The Lap (GBR),07.09.2019,75.1km  trail race,"139 (89 M, 50 F)",8:21:12 h,,
61,6:36:40 h,"Moulding, David",,GBR,1983,M,55,M35,16,7.714,6:34:30 h,1366214,The Keswick 50K Trail Race Ultra (GBR),19.05.2019,51km  trail race,"183 (136 M, 47 F)",4:58:24 h,,
31,12:53:25 h,"Gilbert, Mike",,GBR,1961,M,26,M60,2,5.430,10:29:53 h,463711,1st Peak District 70th Birthday Bash (GBR),09.04.2022,70km  trail race,"65 (37 M, 28 F)",8:19:42 h,,
38,18:58:42 h,"Gilbert, Mike",,GBR,1961,M,27,M55,4,5.375,15:54:01 h,463711,4th St. Cuthbert's Way 100 Km Ultra (GBR),29.-30.06.2019,102km  trail race,"55 (35 M, 20 F)",11:38:07 h,,
38,4d 03:21:46 h,"Gilbert, Mike",,GBR,1961,M,32,M55,3,3.077,3d 12:01:17 h,463711,2nd Northern Traverse 190 Miles (GBR),12.-16.05.2018,190mi  trail race,"44 (38 M, 6 F)",2d 03:26:17 h,,
96,15:27:52 h,"Gilbert, Mike",,GBR,1961,M,81,M50,6,5.374,13:26:14 h,463711,Lakes in a day Ultra 50mi (GBR),10.-11.10.2015,83.1km  trail race,"239 (193 M, 46 F)",9:12:07 h,,
86,12:13:49 h,"Gilbert, Mike",*Eyam,GBR,1961,M,79,M50,5,5.315,10:37:37 h,463711,Le Tour de la Grande Casse (FRA),23.08.2015,65km  trail race,"163 (144 M, 19 F)",8:10:50 h,,
217,6:17:34 h,"Gilbert, Mike",,GBR,1961,M,194,M50,21,8.184,5:31:01 h,463711,Haworth Hobble 32 Miles (GBR),15.03.2014,32mi  trail race,"407 (330 M, 77 F)",4:04:31 h,,
24,7:57:12 h,"Gilbert, Mike",*Eyam,GBR,1961,M,21,M50,2,6.287,7:02:06 h,463711,1st Ultimate Trails Challenge 50 km (GBR),14.09.2013,50km  trail race,"101 (63 M, 38 F)",6:10:43 h,,
117,8:54:44 h,,,NZL,1974,M,94,M45,3,5.835,8:17:54 h,1455723,Crater Rim Ultra (NZL),18.10.2020,52km  trail race,"167 (124 M, 43 F)",4:38:31 h,"Hartley, Derek",
450,7:12:12 h,,,NZL,1974,M,279,M45,53,6.941,6:42:26 h,1455723,6th Tarawera 50 km Ultramarathon (NZL),08.02.2020,50km  trail race,"1071 (531 M, 540 F)",3:41:27 h,"Hartley, Derek",
116,7:09:28 h,"Pearson, Mike",,USA,1977,M,85,M35,25,6.985,7:07:07 h,470445,2nd Lake Hodges Trail Fest 50K (USA),27.10.2013,50km  trail race,"142 (100 M, 42 F)",3:31:26 h,,
57,10:54:48 h,"Pollard, Leo",Achille Ratti,GBR,,M,55,#NA,37,5.456,10:54:48 h,1462456,Old County Tops Fell Race (GBR),24.06.1995,37mi  trail race,"64 (60 M, 4 F)",7:23:48 h,,
63,12:01:25 h,"Pollard, Leo",,GBR,,M,57,#NA,55,4.952,12:01:25 h,1462456,Old County Tops Fell Race (GBR),19.05.1990,37mi  trail race,"64 (58 M, 6 F)",7:28:12 h,,
1138,11:13:33 h,,"*Preston, Lancashire",GBR,1951,M,1081,M35,216,5.968,11:04:48 h,216126,4. Swiss Alpine Marathon (SUI),29.07.1989,67km  trail race,"1169 (1107 M, 62 F)",5:14:23 h,"Curwen, Richard",
204,7:17:09 h,,*Invercargill,NZL,1951,M,169,M50,14,8.235,6:23:15 h,642581,17th Kepler Challenge Mountain Run (NZL),03.12.2004,60km  trail race,"386 (294 M, 92 F)",4:10:13 h,"Sherriff, Joe",
128,7:41:28 h,"Sherriff, Joe",*Invercargill,NZL,1951,M,107,M50,10,7.801,6:51:44 h,642581,15th Kepler Challenge Mountain Run (NZL),07.12.2002,60km  trail race,"330 (253 M, 77 F)",5:08:36 h,,
55,10:20:00 h,"Pattinson, Howard",,GBR,,M,43,#NA,14,6.230,10:20:00 h,386514,Oxon 40 Mile (GBR),05.05.2012,40mi  trail race,"103 (72 M, 31 F)",6:56:00 h,,
402,6:12:13 h,"Fleming, Philip",*NSW,AUS,1954,M,358,M45,55,7.254,5:37:54 h,397772,20th Six Foot Track (AUS),08.03.2003,45km  trail race,"566 (486 M, 80 F)",3:32:06 h,,
48,11:54:33 h,"Baumeister, Roger",Dark Peak FR,GBR,1941,M,44,M60,5,6.757,9:36:26 h,398572,21st Rowbotham's Round Rotherham (GBR),13.12.2003,50mi  trail race,"93 (85 M, 8 F)",7:04:58 h,,
48,12:20:04 h,"Baumeister, Roger",Dark Peak FR,GBR,1941,M,45,M55,3,6.524,10:14:16 h,398572,18th Rowbotham's Round Rotherham (GBR),09.12.2000,50mi  trail race,"90 (81 M, 9 F)",7:11:26 h,,
45,10:54:20 h,"Baumeister, Roger",Dark Peak FR,GBR,1941,M,43,M55,5,7.379,9:18:21 h,398572,15th Rowbotham's Round Rotherham (GBR),13.12.1997,50mi  trail race,"111 (98 M, 13 F)",6:58:56 h,,
30,9:39:15 h,"Baumeister, Roger",Dark Peak FR,GBR,1941,M,27,M50,2,8.335,8:23:19 h,398572,13th Rowbotham's Round Rotherham (GBR),16.12.1995,50mi  trail race,"83 (71 M, 12 F)",7:04:30 h,,
36,9:33:10 h,"Baumeister, Roger",Dark Peak FR,GBR,1941,M,33,M45,5,8.165,8:44:48 h,398572,7th Rowbotham's Round Rotherham (GBR),30.12.1989,78km  trail race,"48 (42 M, 6 F)",6:19:57 h,,
17,8:52:00 h,"Baumeister, Roger",Dark Peak FR,GBR,1941,M,17,M45,1,8.797,8:15:21 h,398572,5th Rowbotham's Round Rotherham (GBR),19.12.1987,78km  trail race,"36 (35 M, 1 F)",6:46:00 h,,
3,17:40:38 h,"Baumeister, Roger",,GBR,1941,M,3,M45,1,9.104,16:27:34 h,398572,Rotherham Centenary 100 mile road race (GBR),04.-05.09.1987,100mi  road race,"5 (5 M, 0 F)",14:28:57 h,,
18,8:55:00 h,"Baumeister, Roger",Dark Peak FR,GBR,1941,M,18,M40,7,8.748,8:22:19 h,398572,4th Rowbotham's Round Rotherham (GBR),27.12.1986,78km  trail race,"28 (27 M, 1 F)",6:38:00 h,,
17,10:27:00 h,"Baumeister, Roger",Dark Peak FR,GBR,1941,M,16,M40,4,7.464,9:58:29 h,398572,2nd Rowbotham's Round Rotherham (GBR),29.12.1984,78km  trail race,"17 (17 M, 0 F)",6:54:00 h,,
27,6:39:58 h,"Baumeister, Roger",Dark Peak Fell Runners,GBR,1941,M,27,M35,6,12.916,6:36:25 h,398572,28th London to Brighton Road Race (GBR),01.10.1978,86.1km  road race,"74 (74 M, 0 F)",5:13:02 h,,
38,6:47:01 h,"Baumeister, Roger",Dark Peak Fell Runners,GBR,1941,M,38,M35,6,12.545,6:44:47 h,398572,27th London to Brighton Road Race (GBR),25.09.1977,85.1km  road race,"73 (73 M, 0 F)",5:16:05 h,,
253,10:23:21 h,,,GBR,1997,M,196,M23,111,4.813,10:23:21 h,2096368,Ultra X 50 England (GBR),17.09.2023,50km  trail race,"278 (209 M, 69 F)",5:25:36 h,"Walker, Harry",
7,7:47:00 h,"Halenko, Roman",Clayton,GBR,,M,13,#NA,12,7.650,7:47:00 h,1022584,Old County Tops Fell Race (GBR),20.05.1989,37mi  trail race,"60 (57 M, 3 F)",6:25:00 h,,
35,7:10:00 h,"Halenko, Roman",Clayton-Le-Moors Harriers,GBR,,M,35,#NA,9,11.874,7:10:00 h,1022584,26th London to Brighton Road Race (GBR),26.09.1976,85.1km  road race,"61 (61 M, 0 F)",5:23:32 h,,
112,6:49:16 h,,*Kelkheim,GER,1952,M,112,M35,34,9.822,6:45:38 h,9,4. Swiss Alpine Marathon (SUI),29.07.1989,67km  trail race,"1169 (1107 M, 62 F)",5:14:23 h,"Aderhold, Lutz",
509,8:06:01 h,,,GBR,1943,M,495,M45,49,8.271,7:32:32 h,215929,4. Swiss Alpine Marathon (SUI),29.07.1989,67km  trail race,"1169 (1107 M, 62 F)",5:14:23 h,"Brad, Christopher",
192,6:35:20 h,"Price, Robin",Clayton,GBR,1944,M,170,M60,4,7.816,5:12:45 h,481519,Haworth Hobble 32 Miles (GBR),15.03.2008,32mi  trail race,"314 (262 M, 52 F)",4:06:43 h,,
145,5:48:04 h,"Price, Robin",Clayton le Moors,GBR,1944,M,129,M60,3,8.877,4:38:05 h,481519,Haworth Hobble 32 Miles (GBR),10.03.2007,32mi  trail race,"286 (240 M, 46 F)",3:43:24 h,,
86,6:10:34 h,"Price, Robin",Clayton,GBR,1944,M,72,M60,2,8.338,5:01:48 h,481519,Haworth Hobble 32 Miles (GBR),12.03.2005,32mi  trail race,"200 (177 M, 23 F)",4:13:54 h,,
264,18:14:33 h,"Philipson, Andrew",,GBR,1971,M,207,M45,31,6.085,16:25:06 h,1601469,10th The Wall Ultra Run 111 km nonstopp (GBR),19.-20.06.2021,111km  trail race,"488 (365 M, 123 F)",9:59:00 h,,
187,6:19:16 h,,,FRA,,M,173,#NA,57,8.701,6:19:16 h,1181092,9ème La 6000D (FRA),26.07.1998,55km  trail race,"719 (636 M, 83 F)",4:17:17 h,"Walford, Mike",
68,5:50:55 h,"Walford, Mike",,FRA,,M,64,#NA,25,9.404,5:50:55 h,1181092,8ème La 6000D (FRA),27.07.1997,55km  trail race,"516 (470 M, 46 F)",4:21:45 h,,
27,5:19:40 h,,,FRA,,M,26,#NA,8,10.323,5:19:40 h,1181092,7ème La 6000D (FRA),28.07.1996,55km  trail race,"320 (294 M, 26 F)",4:38:04 h,"Walford, Mike",
19,9:38:59 h,"Walford, Mike",Kendal,FRA,,M,18,#NA,13,6.171,9:38:59 h,1181092,Old County Tops Fell Race (GBR),25.06.1994,37mi  trail race,"52 (50 M, 2 F)",8:24:06 h,,
13,5:07:28 h,,,FRA,,M,13,#NA,6,10.733,5:07:28 h,1181092,4ème La 6000D (FRA),24.07.1993,55km  trail race,"189 (176 M, 13 F)",4:41:06 h,"Walford, Mike",
20,5:36:54 h,"Walford, Mike",,FRA,,M,20,#NA,12,9.795,5:36:54 h,1181092,3ème La 6000D (FRA),26.07.1992,55km  trail race,"161 (151 M, 10 F)",4:51:24 h,,
51,9:42:00 h,"Broxap, Jonathan",,AUS,,M,50,#NA,29,6.139,9:42:00 h,710146,Old County Tops Fell Race (GBR),19.05.2007,37mi  trail race,"98 (92 M, 6 F)",7:13:00 h,,
68,5:59:24 h,,,AUS,,M,61,#NA,16,9.182,5:59:24 h,710146,13ème La 6000D (FRA),28.07.2002,55km  trail race,"525 (470 M, 55 F)",4:24:48 h,"Broxap, Jonathan",
249,6:49:18 h,,,AUS,,M,240,#NA,84,8.063,6:49:18 h,710146,10ème La 6000D (FRA),25.07.1999,55km  trail race,"631 (572 M, 59 F)",4:18:04 h,"Broxap, Jonathan",
305,6:48:29 h,,,AUS,,M,281,#NA,101,8.079,6:48:29 h,710146,9ème La 6000D (FRA),26.07.1998,55km  trail race,"719 (636 M, 83 F)",4:17:17 h,"Broxap, Jonathan",
1,9:10:10 h,"Broxap, Jonathan",,AUS,,M,1,#NA,1,6.543,9:10:10 h,710146,Bogong to Hotham (AUS),08.01.1989,60km  trail race,"5 (5 M, 0 F)",9:10:10 h,,
30,5:33:51 h,"Barron, Peter",Foresters Running Club,RSA,1950,M,29,M50,3,9.346,4:52:42 h,1148620,15th Rhodes 52 km Trail Run (RSA),19.07.2003,52km  trail race,"302 (232 M, 70 F)",4:25:39 h,,
816,4:27:29 h,,,RSA,1950,M,783,M45,46,12.562,4:07:00 h,1148620,28th Two Oceans Marathon (RSA),29.03.1997,56km  road race,"6696 (5861 M, 835 F)",3:07:17 h,"Barron, Peter",
330,3:59:24 h,"Barron, Peter",,RSA,1950,M,326,M40,26,14.035,3:50:23 h,1148620,23rd Two Oceans Marathon (RSA),18.04.1992,56km  road race,"7139 (6551 M, 588 F)",3:15:56 h,,
210,4:33:53 h,"Barron, Peter",,RSA,1950,M,210,M23,80,12.268,4:33:53 h,1148620,9th Two Oceans Marathon (RSA),25.03.1978,56km  road race,"668 (661 M, 7 F)",3:15:23 h,,
13,65.983 km,"Hampton, Mike","*Greeley, CO",USA,1973,M,10,M35,2,2.749,67.592 km,59569,2nd Silverton 24 Hour Mountain Run (USA),29.-30.06.2013,24h  trail race,"15 (12 M, 3 F)",146.450 km,,
1,149.379 km,"Hampton, Mike","*Greeley, CO",USA,1973,M,1,M35,1,6.224,150.720 km,59569,Boulder 24 Hours (USA),16.-17.10.2010,24h  trail race,"13 (10 M, 3 F)",149.379 km,,
6,104.446 km,"Hampton, Mike",,USA,1973,M,5,M35,2,4.352,105.384 km,59569,24 Hours of Laramie (USA),26.-27.06.2010,24h  road race,"11 (7 M, 4 F)",161.417 km,,
1,129.632 km,"Hampton, Mike",,USA,1973,M,1,M35,1,5.401,130.796 km,59569,Moab 24 hour (USA),27.03.2010,24h  trail race,"12 (9 M, 3 F)",129.632 km,,
10,114.907 km,"Hampton, Mike",,USA,1973,M,5,M35,1,4.788,115.542 km,59569,Boulder 24 Hours (USA),17.-18.10.2009,24h  trail race,"18 (14 M, 4 F)",195.342 km,,
2,132.931 km,"Hampton, Mike",,USA,1973,M,1,M35,1,5.539,133.666 km,59569,24 Hours of Laramie (USA),27.-28.06.2009,24h  road race,"19 (8 M, 11 F)",142.426 km,,
2,112.348 km,"Hampton, Mike",,USA,1973,M,2,M35,1,4.681,112.969 km,59569,Moab 24 hour (USA),28.-29.03.2009,24h  trail race,"15 (11 M, 4 F)",129.632 km,,
289,7:46:12 h,,"*Abbotsford, BC",CAN,1961,M,213,M60,5,6.435,6:12:27 h,243278,26th Diez Vista 50K Trail Run (CAN),13.04.2024,50km  trail race,"385 (260 M, 125 F)",3:50:28 h,"Schofield, Peter",
125,8:46:42 h,"Schofield, Peter","*Abbotsford, BC",CAN,1961,M,77,M50,4,5.696,7:37:39 h,243278,4th Squamish 50km (CAN),23.08.2015,50km  trail race,"250 (131 M, 119 F)",5:23:54 h,,
71,7:52:11 h,"Schofield, Peter","*Abbotsford, BC",CAN,1961,M,54,M50,7,6.353,6:50:17 h,243278,18th Diez Vista 50K Trail Run (CAN),11.04.2015,50km  trail race,"110 (74 M, 36 F)",4:37:37 h,,
19,9:36:38 h,"Schofield, Peter","*Abbotsford, BC",CAN,1961,M,15,M50,2,8.373,8:30:02 h,243278,3rd Whistler 50 Relay & Ultra Race (CAN),19.10.2013,50mi  trail race,"31 (22 M, 9 F)",6:11:06 h,,
22,8:22:57 h,"Schofield, Peter","*Abbotsford, BC",CAN,1961,M,12,M45,5,9.599,7:32:40 h,243278,1st Whistler 50 Relay & Ultra Race (CAN),05.11.2011,50mi  trail race,"46 (25 M, 21 F)",5:52:07 h,,
29,6:12:11 h,"Blair-Fish, John Andrew",*Edinburgh Em16 6ur,GBR,1950,M,29,M35,13,10.801,6:07:21 h,189765,3. Swiss Alpine Marathon (SUI),30.07.1988,67km  trail race,"875 (825 M, 50 F)",5:12:25 h,,
809,10:24:19 h,"Gross, Bernd",*Lochum,GER,1951,M,766,M35,175,6.439,10:18:46 h,765,3. Swiss Alpine Marathon (SUI),30.07.1988,67km  trail race,"875 (825 M, 50 F)",5:12:25 h,,
22,6:21:13 h,"Blair-Fish, John Andrew",*Edinburgh,GBR,1950,M,22,M35,5,10.545,6:17:50 h,189765,2. Swiss Alpine Marathon (SUI),25.07.1987,67km  trail race,"641 (599 M, 42 F)",5:22:36 h,,
10,5:56:15 h,"Blair-Fish, John Andrew",*Edinburgh,GBR,1950,M,10,M35,2,11.284,5:54:18 h,189765,1. Swiss Alpine Marathon (SUI),26.07.1986,67km  trail race,"769 (731 M, 38 F)",5:23:54 h,,
38,61.991 km,"Harney, Brian",,GBR,1945,M,27,M70,1,5.166,88.533 km,98799,5th Manvers Dusk till Dawn (GBR),27.-28.07.2019,12h  road race,"113 (76 M, 37 F)",118.817 km,,
181,15:33:40 h,"Harney, Brian",Rotherham Harriers & AC,GBR,1945,M,145,M70,3,5.171,11:20:17 h,98799,34th Rowbotham's Round Rotherham (GBR),15.10.2016,50mi  trail race,"193 (155 M, 38 F)",6:29:50 h,,
197,16:44:45 h,"Harney, Brian",Rotherham Harriers,GBR,1945,M,153,M70,5,4.805,12:20:06 h,98799,33rd Rowbotham's Round Rotherham (GBR),17.10.2015,50mi  trail race,"197 (153 M, 44 F)",6:48:44 h,,
74,10:25:38 h,"Harney, Brian",Rotherham Harriers & AC,GBR,1945,M,65,M60,1,7.717,8:10:04 h,98799,27th Rowbotham's Round Rotherham (GBR),17.10.2009,50mi  trail race,"208 (162 M, 46 F)",6:42:12 h,,
20,7:51:37 h,"Harney, Brian",Rotherham H,GBR,1945,M,18,M55,2,11.081,6:31:27 h,98799,53rd London to Brighton Road Race (GBR),05.10.2003,87.1km  road race,"87 (75 M, 12 F)",6:24:04 h,,
7,8:24:17 h,"Harney, Brian",Rotherham H & AC,GBR,1945,M,7,M55,1,9.574,7:02:30 h,98799,20th Rowbotham's Round Rotherham (GBR),14.12.2002,50mi  trail race,"101 (92 M, 9 F)",7:06:37 h,,
372,9:29:37 h,,Rotherham H,GBR,1945,M,331,M55,5,10.533,8:01:41 h,98799,IAU 100km WC Cleder - Open race (FRA),26.08.2001,100km  road race,"1327 (1179 M, 148 F)",6:33:28 h,"Harney, Brian",
28,49.084 km,"Harney, Brian",Rotherham Harriers,GBR,1945,M,23,M55,3,2.045,58.046 km,98799,Doncaster 24hr Track Race (GBR),26.-27.05.2001,24h  track,"28 (23 M, 5 F)",194.730 km,,
7,8:12:14 h,"Harney, Brian",Rotherham H & AC,GBR,1945,M,7,M55,1,9.808,7:00:02 h,98799,18th Rowbotham's Round Rotherham (GBR),09.12.2000,50mi  trail race,"90 (81 M, 9 F)",7:11:26 h,,
